"from_user_name","to_user_name","in_reply_to_status_id","location"
"Carmenadrade","goberimbabura",1.32841936194673E+018,"Ecuador"
"Carmenadrade","goberimbabura",1.32841936194673E+018,"Ecuador"
"Carmenadrade","goberimbabura",1.32767243783262E+018,"Ecuador"
"Pedropztv","MachalaAlcaldia",1.32738817233932E+018,"Ecuador"
"Pedropztv","MachalaAlcaldia",1.32666811215925E+018,"Ecuador"
"PzElen234_","ImbaburaL",1.32812245284147E+018,"Ecuador"
"Mercedelorosb","sur_gente",1.3283760339015E+018,"ecuador"
"ElisaDiaz8t","LojaRc11",1.32862690516422E+018,"Ecuador"
"ElisaDiaz8t","TuiterosRCLoja",1.32862599723161E+018,"Ecuador"
"Lilianamonts78","GisseGarzonM",1.32855873350966E+018,"Ecuador"
"Anapaulavra","goberimbabura",1.32841936194673E+018,"Ecuador"
"Anapaulavra","goberimbabura",1.32730013657852E+018,"Ecuador"
"Anapaulavra","PMGuayas",1.32581608931028E+018,"Ecuador"
"05AngelRm","ecuarauz",1.32830156770818E+018,"Ecuador"
"laurielopezz","goberorellana",1.3284676587534E+018,"Ecuador"
"Anapaulavra","PMGuayas",1.32380841820183E+018,"Ecuador"
"Andyzambrano06","UNESECUADOR",1.32659799440216E+018,"Ecuador"
"UnesCarchi","JuntosenDemocr1",1.32852902031361E+018,"Tulcan, Ecuador"
"VlzAdri","DURANFUERZA",1.32817065506656E+018,"Ecuador"
"EstefAguilar2","ManabiMujeres",1.32835679989708E+018,"Ecuador"
"ivanaced","pichinchauniver",1.32872826458046E+018,"Ecuador"
"Jara_Marcelinda","MunicipioDeLoja",1.32157214847817E+018,"Ecuador"
"OsmelMaita","TulcanOnline",1.32839170875794E+018,"Ecuador"
"fernandaperezz0","ManabiUnes",1.32226608961571E+018,"Ecuador"
"Rioscamila17","PichinchaGob",1.32870304284642E+018,"Ecuador"
"Sr_JulioP","GdaesdeLIGA",1.32778780268425E+018,"Ecuador"
"Reynamorales09","EnPichinchaU",1.32872173691379E+018,"Ecuador"
"Reynamorales09","KinttoLucas",1.32872053787559E+018,"Ecuador"
"marielamartine0","compasecuador1",1.32852083657219E+018,"Ecuador"
"marielamartine0","GisseGarzonM",1.328510672553E+018,"Ecuador"
"DiegomMartinezd","radioluzyvidaec",1.32761037815146E+018,"Ecuador"
"Vicentaodj","activa987",1.32816272152795E+018,"Ecuador"
"Elisatinz","GoberNapo",1.32872961417322E+018,"Ecuador"
"OKaedbay","CompromisoRC",1.32870947287801E+018,"Ecuador"
"Cristiperezp","ANT_ECUADOR",1.32729971508451E+018,"Ecuador"
"Caroliverakj","eldiarioec",1.32876319292805E+018,"Ecuador"
"Gomezantonio03","uazuay",1.32850014846969E+018,"Ecuador"
"Camilacastroaa","cd_canar",1.32035594834771E+018,"Ecuador"
"VlzAdri","FrankSamaniegoM",1.32594969986668E+018,"Ecuador"
"mairmasolp","ecuarauz",1.32876195898898E+018,
